userName,content,score,at
Gandi Paling,"KECEWA!!! Saya melakukan transaksi pembelian token pulsa listrik dengan status gagal, namun uang saya tidak balik ke rekeningğŸ˜“, diinfokan dr Costumer servis bahwa pengembalian dana sedang dalam proses, dr tanggal 1 Oktober 2021 hingga sekarang uang saya belum balik2, apakah prosesnya sampai akhir zaman. Bukan masalah uangnya namun masalah kepercayaan dan pelayanan anda",1,2021-11-07 18:06:09
Kusnadi Hera Permana,Terimakasih atas pelayanan yang prima dari Betang mobile bank Kalteng!ğŸ™ğŸ‘,5,2021-11-07 15:58:56
adrian dalana,Setelah di update gak bisa di buka aplikasi nyağŸ˜©,1,2021-11-07 15:11:25
Mendi Pebrianto,Kenapa ya habis di update kok tidak muncul menu log in nya mohon pencerahannya..,3,2021-11-07 14:54:41
Bazarie Junaidi,"Habis update malah ga bisa login , mantab kasih bintang 5 dlu ğŸ˜„",5,2021-11-07 13:45:22
Ndtriyansyah Sampit,Mantap,4,2021-11-07 13:30:51
Fatlasadica Tyas,Mantap... Aplikasinya bermanfaat untuk memudahkan user dalam bertransaksi.,5,2021-11-07 12:35:50
AGUS SALIM,Mantap...ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»,5,2021-11-07 12:07:00
Me Ga,Lancar.,4,2021-11-07 12:00:09
Amang Supiadi,Menteeep....aku aman aman aja habis update,5,2021-11-07 11:22:27
SUHAM AF,Lebih mudah untuk bertransaksi dan lebih hemat dibandingkan dgn SMS banking,5,2021-11-07 11:19:21
"Hotland Nardo L M S.Kep,NS",Good,5,2021-11-07 11:17:18
Stifen Panerus,Semakin terus maju,5,2021-11-07 10:35:44
Pianis IDN 2,Bagus.. ğŸ‘ğŸ‘,5,2021-11-07 10:19:24
Surya Panansang,Sangat bermanfaat sekali,5,2021-11-06 20:49:28
Agus Spt,Trimaksih bank kalteng mobile.semua transaksi jadi cepet..,5,2021-11-04 11:33:28
Ralfianizar,"Kok kode verifikasi lewas smsnya ngga masuk masuk ya, udah 3 hari nungguin gmna mau daftar",1,2021-11-02 11:47:53
ORP Official,"""Ayo ayo ayo kita ke Bank Kalteng""",5,2021-11-01 10:09:31
Toni Mura,"Mantap min aplikasinya,....maju terus bank Kalteng",5,2021-10-30 15:56:16
Ryanda Karisma,Sekedar masukkan... Usahakan kalo bisa tidak usah daftar ulang kalo di hp baru atau ketika dapat update dari betang mobile... Karena pasti ketika mendaftar ulang memakan pulsa...,3,2021-10-30 10:27:02
Didi Sophian,"Versinya ditingkatkan malah jadi eror, nggak bs login 1 bintang aja udah cukup",1,2021-10-29 16:02:28
Syahril Fauzi,krg memuaskan masih sering gangguan2 trua saat login .. tlong prbaiki,2,2021-10-29 10:27:15
Nanang Bayuntara,"Bagus aplikasinya. Simpel, kekinian, mudah diakses. Maju terus Bank Kalteng, Berubah menjadi lebih baik.",5,2021-10-24 21:35:38
Rolly Jhon,"Ko gak bisa daftar? Sudah isi no. ATM sama no. Rekening dengn benar, malah keluar tulisan ""no. Hp belum terdaftar sms banking"" , padahal sms banking saya sudah terdaftar di bank kalteng dan bisa digunakan transaksi transfer.",1,2021-10-23 15:28:38
Kris Gamers,Apps bank BPK kenapa error terus hari ini saat melakukan transaksi? Mohon segera difix ğŸ˜,2,2021-10-22 11:16:16
Suhaimi Mang,"Gak bisa masuk no rekening selalu salah , kolam nya gak muat buat masukin no rekening",5,2021-10-09 10:41:41
Nahrul Hayat,Belum Update nga bisa Transfer Ke Bank Syariah Indonesia..,5,2021-09-24 23:08:03
Yudianus Yuyud,Lumayan berguna walau lemot ğŸ˜‚ğŸ¤£,5,2021-09-22 18:23:26
Adi Prasetyo,Sangat mempermudah saya bertransaksi,5,2021-09-22 17:37:04
Astry Oppo,Sangat memuaskan,2,2021-09-21 10:57:27
Susilo Susilo,Min Kenapa di suruh registrasi ulang yah itu mksud nya gmn dan cara nya gimana?,3,2021-09-20 00:05:43
Ryo Balay,"Terima kasih bank kalteng, berkat adanya mobile banking lebih memudahkan saya dalam bertransaksi tanpa harus ke ATM ğŸ‘ğŸ‘",5,2021-09-17 09:19:14
Marpika Riana B. Ambeng,Tambahkan utk pembayaran dana dong min,2,2021-09-14 20:05:36
Biru Donker,"Saya lgsg kasih 5 bintang.. Keren ğŸ‘ App juga gk terlalu berat dan gk ribet juga.. Fitur dan Design OK, mantap dah pokok nya jadi lebih mudah skrg. Terima kasih sdh menyediakn yg mobile banking. Semoga makin berkembang ih akan bank Kalteng ğŸ™",5,2021-09-14 17:50:53
Fitria Handayani,Tambahin dong kak virtual accountnya biar bisa memudahkan segalanya ğŸ‘Œ,5,2021-09-12 17:10:55
Beby Syima,Ok,5,2021-09-11 22:33:15
Hermenika Menika,Baik seksli,3,2021-09-11 05:24:48
Dody Setiawan,oke membantu sekali,5,2021-09-09 21:50:08
NextNath,Tolong tambahkan pembayaran dana,5,2021-09-09 00:00:30
GHOZA _JereNyanya,terima kasih sudah membantu saya malas keluar rumah kalo mau transfer ğŸ˜ğŸ™. keren2 apk nya. pelayanan kantor cabangnya ramah banget. tolong tiap cabang di daerah tambah kan Mesin CDM supaya bisa setor tunai tanpa harus ke tellernya antri lama. terimakasih ğŸ˜,5,2021-08-15 17:04:06
Hestika Agustin,Kenapa nggk bisa diinstal aplikasi nya,2,2021-08-14 07:54:40
Dea Sampit,"Hampir SEMPURNAAAA, tolong di tambah fitur penting pembayaran VA ke bank lain,karena musim penerimaan mahasiswa baru bayar uang kuliah rata rata pakai VA.",4,2021-08-12 00:57:30
MUHAMMAD RIALDY APRILYANTO FADILAH,"Aplikasi uang bagus, tolong admin tambahkan transaksi melalui virtual Account. Karna dengan itu mudah untuk transaksi kemana saja tanpa biaya, dan pembayaran selalu otomatis",5,2021-08-04 14:57:06
Anglerhulu 33kps,Ko msukan nmor rek td bisa...rek asal tdk terdaftar,4,2021-08-03 20:18:47
laili him3,Terimkasi sudah hadir diantaraa kmiğŸ˜‡ğŸ˜‡,5,2021-07-30 11:23:30
TEDDYS COM Bulik Advertising,Mantep,5,2021-07-27 07:51:52
Abimael FEM,mantap sekali.... Saran saya untuk aplikasi mobile banking nya perlu di tambahkan menu untuk transaksi transfer Virtual Account.terima kasih,4,2021-07-23 09:23:10
Ikhsan lukman Hakim,Mantap,5,2021-07-23 07:47:43
iyud osawa,Cara meliat no atm itu gimana min,4,2021-07-16 18:50:04
Fahmi Ramadhan,Pelayanan offline nya lama 1 antrian hampir 1 jam . Masuk ke bank Kalteng jam 8 dapet antrian no 10 jam 11 belum selesai juga. Hmmmm,1,2021-07-15 10:33:39
salundik salundik,Mantap,5,2021-07-13 08:56:12
Devon Ezekiel Binti,Aplikasi mantap bingits,5,2021-07-13 08:32:37
indah fajarwati,"Aplikasi bagus, gak lelet",5,2021-07-12 18:11:24
Bang Indra,Mantap,5,2021-07-12 08:28:12
silpanus samsung,Bagus,5,2021-07-11 16:34:11
ASASTRA,"Fitur yang sangat membantu, lebih efektif dan effisien. God JobğŸ‘",5,2021-07-09 15:35:18
Martha Tumanan,Ok,5,2021-07-08 14:03:24
Okta spt,Mantap,5,2021-07-08 13:12:40
Jhony Ramadhan,Terima kasih Bank Kalteng..Aplikasi yang bermanfaat..semoga terus di perbaharui agar menjadi lebih baik,5,2021-07-08 07:37:04
Wahyu Aprilina,"Mudah,cepat,gak ribet",5,2021-07-07 16:31:14
Willy Dozan01,Maju terdepan luar biasa,5,2021-07-07 13:03:26
Muhammad Zulkipli,Membantu transaksi di saat pandemi.. Mantap dan maju terus bank kalteng,5,2021-07-07 12:22:39
Dinasty Syailendra,Keren abis,5,2021-07-07 11:04:15
Yuliyah Rosihan,"Bagus, akhirnya bs transaksi di bank Kalteng mobile",5,2021-07-07 10:06:07
Bobby Marko (SSTP),Sangat membantu karna saya PNS gaji di bank kalteng..transaksi jadi lebih nyaman,5,2021-07-07 04:57:40
Thio Suwerda,Sangat membantu ğŸ‘ğŸ‘,5,2021-07-06 20:53:48
Achmad Alpiannoor,Jos komplitnya,4,2021-07-06 18:13:11
Riska Aprisa,"Tambahin pembayaran shopee pay donk diaplikasinya, nanti ku kasih bintang 5",4,2021-07-06 18:02:23
muhhammad fuaddie,Oke,5,2021-07-06 17:58:54
Orang Lawas,"Dengan aplikasi ini, saya sebagai nasabah bank kalteng merasa cukup di mudahkan dalam pengecekan saldo maupun bertransaksi lainnya, semoga ada penambahan fitur nya lagi yg bermanfaat, terima kasih",4,2021-07-06 16:46:20
Yuhersyani Rohesy,Membantu sangaat saat jauh dari ATM,5,2021-07-06 16:36:16
Yokino,Okkkk,5,2021-07-06 15:00:20
Liper S. Nawai,Sangat baik,5,2021-07-06 13:41:37
Estu Nugroho Official,Mantab moga stabil dan transaksi tetap aman,5,2021-07-06 13:20:41
Surono Surono,Ok,5,2021-07-06 13:14:12
"Leripianto, S. Pd",Mantap,5,2021-07-06 11:41:59
Fadillah Boy,bagus,5,2021-07-06 10:23:07
Ullia Ulfah,Akhirnya Bank Kalteng Mobile udh hadir...sangat membantu ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ» jadi ngga ribet lagi kalau mau transaksi ğŸ˜‰ğŸ‘ğŸ»,5,2021-07-06 09:17:29
Willy Febri,Semoga bisa lebih praktis dan mudahkan dalam bertransaksi,5,2021-07-05 21:22:22
Rus Mani,Tidak bisa daptar melalui hp tdk seperti bank lain lewat hp bisa,2,2021-07-05 21:05:51
"Seswandy, S.Ag.",mantapğŸ‘,5,2021-07-05 19:57:16
Wulandari Astuti,"Knp wKtu registrasi no hp sy tdk terdaftar ? Pdahl cek saldo, bli pulsa dll pke sms Banking yg manual bisa saja. Smpai hari ini kendalanya itu saja & Sy skrng pun msih mnggunkn sms Banking yg manual, mohon pnjelasan. Trims ğŸ™ğŸ™",3,2021-07-05 13:31:42
Roby Wilime,Ya sangat bagus,5,2021-07-02 11:23:57
ricky rikarno,"sms banking sdah terdaftar dan terintergrasi dgn nomor hp (dan lancar via dial 141 125), rekening juga sudah terbaru dgn 13 digit nomornya.. tpi kenapa saat mau daftar balasannya ""nomor hp belum terdaftar sms banking"". tolong penjelasan nya?",3,2021-07-01 20:21:23
Effansyah,Nomor hp sdh terdaftar sms banking.. pas daftar dibilangnya nomor hp tidak terdaftar,1,2021-07-01 14:16:21
Aan Sawung,"Aplikasi perbankan yang memberi banyak manfaat bagi nasabah, bank kalteng mobile kemudahan bertransaksi bagi nasabah. Good Job Bank Kalteng ğŸ‘ğŸ‘ğŸ‘",5,2021-07-01 10:38:37
Indra ADBC,Cukup puas,4,2021-07-01 02:32:17
Karolina Nusita,Semakin mudah! Terima kasih Bank Kalteng ğŸ¤©,5,2021-06-30 18:40:57
Nia lestika Nia,Gimana lah daftar nya. No rekening diminta 13 digit sdngkan no rek punya saya 16 digit. Gimana lah.,1,2021-06-28 18:04:49
Trickster Id,tolong gimana ya ngisi no rekeningnya kok gak muat,3,2021-06-28 00:18:50
ardy yuli,Waktu mau daftar akun dan masukan norek.. Selalu gagal. Mohon infonya. Trims,1,2021-06-27 09:24:24
Tulus Fetra,Disaat mau mendaftar aplikasi nomor rekeningnya tidak bisa di masukan semua alhasil tidak bisa terdaftar dengan alasan nomor rekening salah.,1,2021-06-25 20:34:49
Widya Kristianti,"Tidak bisa registrasi. No rekeningnya diharuskam 13digit, sedangkan di buku rekening nya sendiri lebih dari 13digit",1,2021-06-24 20:28:58
HARUN ARON,"Bagus,cuman terus disuruh aptude t aplikasi, setelah aptude nga bisa digunakan",3,2021-06-24 19:58:50
Erra Simpei Setya,Mantap. . . Maju Bank Daerahku.,5,2021-06-24 13:34:52
Zahrotul Fauziyah,"Keren... daftarnya ga berbelit-beli Segera tambah di menu pembayaran untuk pembiayaan BAF, FIF, ADIRA dan teman2nya.ğŸ‘ğŸ‘ğŸ‘",5,2021-06-23 14:21:04
wantinus bunnar,Mntap,5,2021-06-23 13:55:17
Kristanti Helbit,Aku suka aku suka ğŸ‘ğŸ‘ğŸ‘,5,2021-06-23 08:38:27
nasir muhammad,Ulun bari bintang 4 dulu kena ulun beri lagi satu jadi lima tambahkan aplikasi lain seperti multi payment dan bayar untuk pendidikan dll....Mudahan Bank Kalteng Semakin Maju,4,2021-06-22 15:25:14
Muhammad Iqbal,Bagaimana cara daftarnya? Nomor rekeningnya lebih 13 digit tapi di kolom cmn muat 13 digit,2,2021-06-21 14:47:09
Eko Darma,Sangat membantu sekali aplikasi ini trimakasih sudah menyediakan aplikasi bank kalteng mobile semoga bank kalteng makin sukses. AMIN,5,2021-06-21 13:44:09
Krishadi Nugroho,"semakin banyak kemudahan dalam bertransaksi,terimakasih",5,2021-06-12 20:44:31
Yonathan Renaldo,"Maju, Terdepan dan Luar Biasa",5,2021-06-12 17:38:31
Jack giant Slayer,Baru mencoba,3,2021-06-11 19:26:54
Eltrison,"Anda melakukan pekerjaan besar di sini, terima kasih.",5,2021-06-11 19:14:26
RobbyKu456,"Mohon biar bisa dipermudah cara registrasi dan login, bank kalteng online nya, biar gampang masuk nya kayak mandiri online,, admin..ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™",3,2021-06-11 17:58:11
aneke kristiana,Sangat membantu ğŸ‘,5,2021-06-11 17:34:03
Pujian Penyembahan Cover Palangka Raya,Terbaikk maju bersama bank kalteng,5,2021-06-11 14:45:07
vivien surya putra,Transaksi pembelian pulsa dll lancar,5,2021-06-11 10:52:13
Andy Ashraf,"Aplikasi keren,semoga Bank Kalteng nanti makin maju",5,2021-06-11 10:48:03
Djulak Barry26,Mantap,5,2021-06-11 09:59:32
Galam Ayan,Memuaskan Makai internet banking,1,2021-06-11 09:49:50
Helita Olivia,Mantap dan sangat membantuuuğŸ˜ŠğŸ˜Š,5,2021-06-11 09:09:41
Hendra Irawan,Oke,5,2021-06-11 08:05:28
Tajudinnor Asra,Mantaap,5,2021-06-10 22:02:08
Jon Aprie,maju bersama Bank Kalteng....,5,2021-06-10 19:32:52
Esra_ BPD,Saya sudah instal aplikasinya dan sudah mencoba bertransaksi transfer ke bank lain status berhasil. Aplikasi Bank Kalteng Mobile kereenn dan bagus ğŸ‘ğŸ‘ğŸ‘ tunggu apalagi yukks mari bertransaksi menggunakan aplikasi Bank Kalteng Mobile je ayun itah... ğŸ™,5,2021-06-10 19:25:31
Sudarto Sudarto,Sangat membantu mempermudah melakukan transaksi perbankan....setiap saat.,5,2021-06-10 18:14:17
God Bless Darma,Bahalap,5,2021-06-10 18:05:21
Afri Barsel,"Mantap, sangat membantu bertransaksi..",5,2021-06-10 17:37:34
Wanted,Terbaikkkkk Bank Kalteng semakin terdepan!!!!,5,2021-06-10 16:01:42
Trianto Gumer S. Tundjung,Mantap ğŸ‘ğŸ‘ğŸ‘,5,2021-06-10 11:09:17
Andhika Dano Saputra,Mantab,5,2021-06-09 08:48:03
Eko Alfianur,"Saya dulu bikin rekening engga make no hp,,,, jadi saya engga ada sms bengking jdi gimana cara nya untuk mengakses BANK KALTENG MOBILE ini klo no hp nya engga terdaptar?????",1,2021-06-08 16:27:24
iokman cecev,mantap,5,2021-06-07 18:23:48
emelia santi,Sangat membantu kemudahan transaksi keuangan saya setiap saat,5,2021-06-07 05:32:12
Rensi Wijaya,ğŸ‘† ğŸ‘ ğŸ‘ ğŸ‘ ğŸ‘ ğŸ‘ ğŸ‘ ğŸ‘ ğŸ‘,5,2021-06-06 17:40:13
Sunardi Kps,Sangat membantu,4,2021-06-06 12:48:12
Abdus Sani,aplikasi nya bagus..penggunaannya mudah ..semoga semakin berkembang dan maju.. bisa seperti bank2 nasional..,5,2021-06-06 12:32:14
shinta maria angela,Mantap,5,2021-06-06 09:21:16
Wadi Bajang 65,Memuaskan,5,2021-06-05 19:38:43
Ivan Andriansyah,Mantap ğŸ‘ğŸ‘ğŸ‘,5,2021-06-05 16:20:09
Jho Sakti,Semoga tambah maju terdepan dan luar biasa,5,2021-06-05 13:52:05
PARIDA SP,Mantaaaappppp,5,2021-06-05 13:19:27
marcella thea,"Aplikasi berjalan lancar, dimudahkan untuk transfer,cek saldo,dan pembayaran tagihan kartu halo. Semoga lebih baik lagi untuk pengembangannya. Salam sukses",4,2021-06-05 11:53:44
Revita Arifin,Memudahkan banget buat transaksi kapan aja dan dimana aja. plus ui/ux-nya bagus,5,2021-06-04 18:38:03
Popeye bayam,ğŸ‘ğŸ‘,5,2021-06-04 15:07:14
Salmiati Mimie,"Aplikasi yg ditunggu -tunggu, akhirnya rilisğŸ‘",5,2021-06-04 12:45:11
Bayu Topan,Mantap,5,2021-06-04 05:56:38
Desy Y,"Alhamdulillah transaksi perbankan jd lbh mudah dilakukan dari mana saja. Trimakasih Bank Kalteng (Desy, Sukamara)",5,2021-06-04 05:03:24
Adi Batuah,Mantaf tingkatkan terus...ğŸ‘,5,2021-06-03 18:53:08
fitri yansyah,Semoga semakin berjaya,5,2021-06-03 17:11:18
A M,"Ulun tanpa pian.. hampa.. ad pian ulun nyaman.. hndk apa2 mudah banar.. nukar pulsa, bayar listrik, trasfer kd perlu ulun bejalan, tingal buka apl nya bank kalteng mobile selesai dah.. bank kalteng mobile pian nahğŸ‘ğŸ‘ğŸ‘ğŸ˜ŠğŸ˜.",5,2021-06-03 15:45:32
Carli Ansyah,Mantap,5,2021-06-03 12:31:19
muhammad rifai,mantap & sangat mudah....,5,2021-06-03 11:12:13
Tuah Tatto,ğŸ‘ğŸ‘ğŸ‘,4,2021-06-03 10:06:24
Kristoper Leonardo,"Mantap, Bank Kalteng semakin maju, terdepan, dan luar biasa ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»",5,2021-06-03 09:32:07
Pradita maharani,"Suka banget sma aplikasinya, mempermudah sekali dalam hal transaksi",5,2021-06-03 06:05:29
yudha rezky,Sangat membantu,5,2021-06-02 19:55:48
kris nandi,Niceeeeeeeeeeeee,5,2021-06-02 19:02:01
David Pahoe,bagus,5,2021-06-02 18:18:09
Oka SH,Akhirny stlh sekian lama kita bisa hadir di dunia digital,5,2021-06-02 18:03:32
heriyandhy,Mantap,5,2021-06-02 17:15:19
Jojo Soeling,Mantap,5,2021-06-02 17:01:32
opan indrayana,Terbaik... ğŸ‘,5,2021-06-02 16:43:58
andi suprin,Kereen... bank daerah fasilitas sama dg bank nasional.,5,2021-06-02 16:24:41
Domu Domu,Mantaap...,5,2021-06-02 13:44:19
Alif sport,Mantaabbb Semoga semakin sukses.... Bank kalteng... Maju Terdepan LuarbiasağŸ‘,5,2021-06-02 13:42:18
Ika Safitri Rahmah,Terbantu sekali dengan hadirnya aplikasi ini. Jadi ga perlu cape2 ke atm kalau cuma sekedar cek saldo atau transfer. Terimakasih bank kalteng.,5,2021-06-02 13:21:41
yano sudarta,"Pengembangan teknologi perbankan yang signifikan,sangat membantu untuk mempermudah transaksi keuangan,& fitur yg diberikan sangat sesuai untuk menjawab kebutuhan penggunaan jasa perbankan. Mohon untuk dikembangkan lagi.",5,2021-06-02 12:03:50
Tovo Frayitno,"Dengan adanya aplikasi ini, akan lebih memberikan opsi dan memudahkan nasabah dalam bertransaksi, semoga Bank Kalteng dapat terus berkembang dan maju menjadi kebanggaan masyarakat Kalteng, terima kasih Bank KaltengğŸ‘",5,2021-06-02 11:58:29
Bertha Kurniatie,"Mantapp,,",5,2021-06-02 11:40:42
Beatrice Gultom,Mantapp,5,2021-06-02 11:39:59
victor evans,"Mantap,,,maju terus Bank Kalteng",5,2021-06-02 11:38:16
eka dina ds,"Aplikasinya mempermudah nasabah dalam bertransaksi, sukses dan jaya selalu Bank Kalteng",5,2021-06-02 09:29:25
Midun Mid,Bagus aplikasi nya,5,2021-06-02 09:15:27
Agung Hotma,"Sangat membantu, mudah di gunakan",5,2021-06-02 08:00:26
Maria Magdalena,Memudahkan dalam bertransaksi,5,2021-06-02 07:59:50
Adi Wiranata,Aplikasi Mobile Banking Bank Kalteng sangat membantu dlm transaksi finansial. Sukses utk Bank Kalteng,5,2021-06-02 04:53:31
Dessy Herwanti,"Mantap,, mempermudah banget ğŸ¥°",5,2021-06-01 21:10:42
Jeksenly Jeksenly,Aplikasi berjalan lancar dan ringan.. Mantap.. Tambahkan lagi fitur2 lainnya..,5,2021-06-01 21:07:13
Helfri Agassi,Mantap. Semoga semakin memudahkan nasabah dalam bertransaksi. Menjadikan Bank Kalteng semakin mejadi Bank kebanggaan masyarakat Kalteng. ğŸ™,5,2021-06-01 20:32:42
Kurniawan Wicaksono,Sukses dan maju terus untuk Bank Kalteng,5,2021-06-01 20:22:11
Ery Maulida,"Akhirnya Mobile Banking Bank Kalteng bisa kita gunakan juga, aplikasinya simple, mudah dipahami dan mudah digunakan ğŸ‘ maju terus Bank Kalteng ğŸ˜‡",5,2021-06-01 20:04:39
Yonatan Jaya,Mantappp,5,2021-06-01 19:44:08
victor kaharap,LanjutkanğŸ‘ğŸ¼,5,2021-06-01 19:30:50
Dahlia Lia,Bagus bgt fiturnyaa,5,2021-06-01 19:30:49
mocking bird,Mantappp siap dicoba dan dieksplor ğŸ˜€,5,2021-06-01 19:29:53
Bambang Purwadi,Bank Kalteng maju Terus n semakin sukses luar biasa ğŸ‘ğŸ‘ğŸ‘ğŸ’ªğŸ’ªğŸ’ª,5,2021-06-01 19:24:07
Wil iwiiil,Sangat bagus,5,2021-06-01 19:18:56
M. Yogi,Tampilan oke dan sangat memudahkan dalam bertransaksi bagi nasabah Bank Kalteng,5,2021-06-01 19:07:43
Nadhi Jaya,Mantab,5,2021-06-01 18:43:59
Ichaon7 Khaylila,Maju terdepan luar biasa....ğŸ˜ğŸ˜ğŸ˜,5,2021-06-01 18:07:31
yopi kiswanto,Terbaik ğŸ‘,5,2021-06-01 17:57:00
Riru Apriandami Ngindra,"Keren, sangat membantu",5,2021-05-31 19:35:22
Enijoni,Belum bisa digunakan,1,2021-05-19 10:48:27
Fitri Fatimah,Ngk buka buat bank Kalteng mobile,5,2021-05-15 22:43:19
MCPU,Kapan launching min?,4,2021-04-29 04:42:40
Tante Nakal,Masih dlam proses,5,2021-01-13 01:57:57
Verra Pebun,Cek saldo,1,2021-01-09 22:08:12
Erra Simpei Setya,Kasih dua dl. Semoga di tahun ini bs segera launching mobile bankingnya. Merdeka ğŸ¤ŸğŸ»,2,2021-01-02 21:32:02
Muhammad Rifani99,coba,4,2020-12-09 22:59:42
Adonia Noverianto,Terbaek,5,2020-12-01 09:13:13
Elisa Stanifri,Saya belum lihat mesin transaksi,5,2020-11-30 16:08:51
